"NOME ITA","NOME ENG","DESCRIZIONE ITA","DESCRIZIONE ENG","CATEGORIA","LATITUDINE (es. 46.281419)","LONGITUDINE (es. 11.523885)","VIA","CAP","LOCALITA'/CITTA'","CONTATTO NOME","CONTATTO TELEFONO","CONTATTO EMAIL","CONTATTO FAX","CONTATTO URL","ORARI ITA","ORARI ENG","SERVIZI ITA","SERVIZI ENG","PREZZI ITA","PREZZI ENG","TAG 1","TAG 2","TAG 3","TAG 4","TAG AGGIUNTIVI","CAPIENZA ITA","CAPIENZA ENG","STORIA ITA","STORIA ENG","CURIOSITA' ITA","CURIOSITA' ENG","COME ARRIVARE ITA","COME ARRIVARE ENG","ACCESSIBILITA' ITA","ACCESSIBILITA' ENG"
"Bar Ristorante Pizzeria Minuetto",,"Ristorante Pizzeria","Restaurant - Pizzeria","pizzeria","46,0630997650958","11,232168674469","Viale Dante, 81",38057,"Pergine Valsugana",,"+39 (0461) 538087",,,,,,,,,,,,,,,,,,,,,,,,
"Bar Rododendro",,,,"Bar","46,080405216398","11,5541625022888","Piazza Maggiore, 5",38050,"Bieno",,,,,,,,,,,,"socializzare",,,,,,,,,,,,,,
"Bar Roma",,,,"Bar","46,0649087178029","11,63325548172","Piazza San Giorgio",38053,"Castello Tesino",,"+39 (0461) 594118",,,,,,,,,,"socializzare",,,,,,,,,,,,,,
"Bar Selva",,"tabacchi","smoke shop","Bar","46,0151744486306","11,3186645507813","Fraz. Selva,",38056,"Levico Terme",,,,,,,,,,,,"socializzare",,,,,,,,,,,,,,
"Bar Serena",,,,"Bar","46,0115457746307","11,301144361496","Via Regia, 21",38056,"Levico Terme",,"+39 (0461) 702121",,,,,,,,,,"socializzare",,,,,,,,,,,,,,
"Bar Smile",,,,"Bar","46,0305955191606","11,2321901321411","Fraz. Valcanover",38057,"Pergine Valsugana",,,,,,"lunedì chiuso",,,,,,"socializzare",,,,,,,,,,,,,,
"Bar Sport",,,,"Bar","46,0606505124509","11,2371683120728","Viale Venezia, 1",38057,"Pergine Valsugana",,"+39 (0461) 532362",,,,"giovedì chiuso",,,,,,"socializzare",,,,,,,,,,,,,,
"Bar Sport",,"Pasti veloci","Quick meals","Bar","46,0507332788279","11,4564871788025","Via Giamaolle, 2/a",38051,"Borgo Valsugana",,"+39 (0461) 751330",,,,"chiuso sabato",,,,,,"socializzare",,,,,,,,,,,,,,
"Bar Sport",,"tabacchi","smoke shop","Bar","46,0163740194964","11,6333198547363","Via Vittorio Emanuele, 142",38055,"Grigno",,"+39 (0461)  765111",,,,,,,,,,"socializzare",,,,,,,,,,,,,,
"Bar Sport Da Michelle",,,,"Bar","46,0675438761686","11,6052961349487","Loc. Impianti Sportivi",38050,"Pieve Tesino",,,,,,,,,,,,"socializzare",,,,,,,,,,,,,,
"Bar Sporting",,,,"Bar","45,9935330008773","11,2603425979614","Via Marconi, 9",38052,"Caldonazzo",,,,,,,,,,,,"socializzare",,,,,,,,,,,,,,
"Bar Stazione",,,,"Bar","46,0521033330361","11,4632678031921","Via Hippoliti, 16",38051,"Borgo Valsugana",,"+39 (0461) 752568",,,,"chiuso domenica",,,,,,"socializzare",,,,,,,,,,,,,,
"Bar Torrefazione",,,,"Bar","46,0609855230265","11,2374901771545","Piazza Gavazzi, 7",38057,"Pergine Valsugana",,,,,,"mercoledì chiuso",,,,,,"socializzare",,,,,,,,,,,,,,
"Bar Trento",,,,"Bar","46,0539052004145","11,4564657211304","Corso Ausugum, 18",38051,"Borgo Valsugana",,,,,,"chiuso lunedì",,,,,,"socializzare",,,,,,,,,,,,,,
"Bar Trento",,"Ristorante",,"Pizzeria","46,0803159118704","11,5529179573059","Via Milano, 10",38050,"Bieno",,"+39 (340) 3134256",,,,,,,,,,,,,,,,,,,,,,,,
"Bar Turismo",,"Pasti veloci","Quick meals","Bar","46,0094742687622","11,3026785850525","Via Cavour, 64",38056,"Levico Terme",,"+39 (340) 1189848",,,,,,,,,,"socializzare",,,,,,,,,,,,,,
"Bar Vulcano",,,,"Bar","46,051686363614","11,4565515518188","Via Spagolla, 7",38051,"Borgo Valsugana",,"+39 (0461) 751162",,,,"chiuso sabato",,,,,,"socializzare",,,,,,,,,,,,,,
"Bar Zita",,,,"Bar","46,0532350913135","11,4573669433594","Piazza Degasperi, 18",38051,"Borgo Valsugana",,"+39 (0461) 753178",,,,"chiuso lunedì",,,,,,"socializzare",,,,,,,,,,,,,,
"Baratto Confezioni",,"abbigliamento",,"abbigliamento","46,0619012082281","11,2420606613159","Via Crivelli, 55",38057,"Pergine Valsugana",,"+39 (0461) 531419",,,,,,,,,,,,,,"abbigliamento",,,,,,,,,,
"Bata Superstore",,"abbigliamento",,"abbigliamento","46,0679383947018","11,2229740619659","Via Tamarisi, 2 - Shop Center Valsugana",38057,"Pergine Valsugana",,,,,,,,,,,,,,,,,,,,,,,,,,
"Bauexpert",,"materiali edili",,"negozio","46,0707148321749","11,2181997299194","Via al Dos dela Roda, 22",38057,"Pergine Valsugana",,"+39 (0461) 1750500",,,,,,,,,,,,,,"materiali edili",,,,,,,,,,
"Bax Bar",,"Pasti veloci","Quick meals","Bar","46,0042057370213","11,2893962860107","Via Claudia Augusta, 29",38056,"Levico Terme",,"+39 (0461) 701713",,,,,,,,,,"socializzare",,,,,,,,,,,,,,
"Bazar Sartori",,"abbigliamento",,"abbigliamento","46,0604718393128","11,239914894104","Via Pennella, 8",38057,"Pergine Valsugana",,"+39 (0461) 531143",,,,,,,,,,,,,,"abbigliamento",,,,,,,,,,
"Bazar Sartori Anna",,"bazar",,"negozio","46,0605016182093","11,2399363517761","Via Pennella, 6",38057,"Pergine Valsugana",,"+39 (0461) 531143",,,,,,,,,,,,,,"bazar",,,,,,,,,,
"Bel Sit Mister Gulliver Pub",,,,"birreria","46,0414100510722","11,2357950210571","Viale Europa, 1 - S. Cristoforo",38057,"Pergine Valsugana",,"+39 (0461) 531009",,,,"lunedì chiuso",,,,,,"socializzare","divertimento",,,,,,,,,,,,,
"Bellavista",,"Ristorante","Ristorante","Ristorante","46,0661593171176","11,634349822998","Via Roma, 19",38053,"Castello Tesino",,"+39 (0461) 594169","bellavista@dnet.it",,"www.bellavistatesino.it",,,,,,,,,,,,,,,,,,,,,
"Belvedere",,"Ristorante pizzeria","Restaurant, pizzeria","Pizzeria","46,0859566973921","11,21433198452","Via di Castel Rocca, 3-
Madrano",38057,"Pergine Valsugana",,"+39 (0461) 552140","adrianoconci@libero.it",,,,,,,,,,,,,,,,,,,,,,,
"Benetton",,"abbigliamento",,"abbigliamento","46,0679383947018","11,2229740619659","Via Tamarisi, 2 - Shop Center Valsugana",38057,"Pergine Valsugana",,,,,,,,,,,,,,,,,,,,,,,,,,
"Berlanda Bruno",,"ortofrutta",,"Alimentari","46,0613875330339","11,2416368722916","Via Crivelli, 46",38057,"Pergine Valsugana",,"+39 (0461) 511286",,,,,,,,,,,,,,"ortofrutta",,,,,,,,,,
"Betty's Hill",,"Ristorante, Birreria, Pizzeria","Restaurant, Brewery, Pizzeria","Pizzeria","46,078500021792","11,5810060501099","Loc. Pradellano",38050,"Pieve Tesino",,"+39 (0461) 594015","marighettobetty@virgilio.it",,,,,,,,,,,,,,,,,,,,,,,
"Biasi Claudia",,"tende e tendaggi",,"negozio","46,0626903231292","11,2346041202545","Viale Dante, 20",38057,"Pergine Valsugana",,"+39 (0461) 532363",,,,,,,,,,,,,,"tende e tendaggi",,,,,,,,,,
"Biasi Sara",,"apicoltura",,"Alimentari","46,0297165592554","11,2275552749634","Fraz. Valcanover, 28",38057,"Pergine Valsugana",,,,,,,,,,,,,,,,"apicoltura",,,,,,,,,,
"Biba's",,"Ristorante, Pizzeria","Ristorante, pizzeria","Pizzeria","46,0021488614333","11,2545919418335","Via Lungolago, 50",38050,"Calceranica Al Lago",,"+39 (0461) 1740099","info@bibashaus.it",,"www.bibashaus.it",,,,,,,,,,,,,,,,,,,,,
"Biblioteca Borgo Valsugana",,,,"Biblioteca","46,0538605267274","11,4613902568817","Via XXIV Maggio, 7",38051,"Borgo Valsugana",,"+39 (0461) 754052","borgo.valsugana@biblio.infotn.it",,,"lunedì: 10,00 - 12,00/14,30-18,30/20,00-22,00
martedì 10,00-12,00/14,30-18,30
mercoledì 09,00-12,00/14,30-18,30
giovedì 10,00-12,00/14,30-18,30/20,00-22,00
venerdì 10,00-12,00/14,30-18,30
sabato 09,00-12,00",,,,,,,,,,,,,,,,,,,,
"Biblioteca Calceranica Al Lago",,,,"Biblioteca","46,0027301601124","11,2450969219208","Corso Alpini, 2",38050,"Calceranica Al Lago",,"+39 (0461) 723148","calceranica@biblio.infotn.it",,,"lunedì 09,00-12,00
martedì 14,00-18,30
mercoledì 14,00-18,30
giovedì 14,00-19,00
venerdì 09,00-12,00",,,,,,,,,,,,,,,,,,,,
"Biblioteca Caldonazzo",,,,"Biblioteca","45,9918260665317","11,2623596191406","Viale Stazione, 2",38052,"Caldonazzo",,"+39 (0461) 724380","caldonazzo@biblio.infotn.it",,,"lunedì 14,00-19,00
martedì 10,00-12,00/14,00-19,00
mercoledì 14,00-19,00
giovedì 14,00-19,00
venerdì 10,00-12,00/14,00-19,00",,,,,,,,,,,,,,,,,,,,
"Biblioteca Castello Tesino",,,,"Biblioteca","46,0631667644012","11,632354259491","Via Venezia, 18",38053,"Castello Tesino",,"+39 (0461) 593232","castellotesino@biblio.infotn.it",,,"lunedì, martedì, giovedì, venerdì 10,00-12,00 / 14,30-18,30
sabato 10,00-12,00",,,,,,,,,,,,,,,,,,,,
"Biblioteca Grigno",,,,"Biblioteca","46,0153532682983","11,6350257396698","Via N.Sauro, 23",38055,"Grigno",,"+39 (0461) 765414","grigno@biblio.infotn.it",,,"martedì, mercoledì, venerdì, sabato 10,00-12,00/14,00-18,00
giovedì 14,00-18,00",,,,,,,,,,,,,,,,,,,,
"Biblioteca Levico Terme",,,,"Biblioteca","46,0110539852966","11,3024961948395","Via Marconi, 6",38056,"Levico Terme",,"+39 (0461) 710206","levico@biblio.infotn.it",,,"martedì, mercoledì, giovedì, sabato 10,00-12,00/15,00-18,30
venerdì 09,00-12,00/15,00-18,30/20,30-22,00",,,,,,,,,,,,,,,,,,,,
"Biblioteca Pergine",,,,"Biblioteca","46,0532276456111","11,457302570343","Piazza Serra, 11",38057,"Pergine Valsugana",,"+39 (0461) 502390","pergine@biblio.infotn.it",,,"da lunedì a venerdì 09,00 - 12,30 / 14,00 - 18,30
sabato 09,00 - 13,00",,,,,,,,,,,,,,,,,,,,
"Biblioteca Pieve Tesino",,,,"Biblioteca","46,0677150826708","11,605532169342","Via Tullia Rio, 15",38050,"Pieve Tesino",,"+39 (0461) 594162","pievetesino@biblio.infotn.it",,,"mercoledì, giovedì, venerdì 09,00-12,00/15,00-19,00
martedì, sabato 15,00-19,00",,,,,,,,,,,,,,,,,,,,
"Biblioteca Roncegno Terme",,,,"Biblioteca","46,0509417675302","11,4097952842712","Piazza De Giovanni",38050,"Roncegno Terme",,"+39 (0461) 764387","roncegno@biblio.infotn.it",,,"estivo: lunedì, mercoledì, venerdì 10,00-12,00/15,00-19,00
martedì 15,00-19,00
giovedì 15,00-19,00/20,00-22,00
invernale: lunedì, mercoledì, venerdì 10,00-12,00/14,00-18,30
martedì, giovedì 14,00-18,30",,,,,,,,,,,,,,,,,,,,
"Biblioteca Strigno",,,,"Biblioteca","46,0660104377324","11,5220618247986","Piazza IV Novembre, 10",38050,"Strigno",,"+39 (0461) 762620","strigno@biblio.infotn.it",,,"martedì,giovedì,venerdì 09,30-12,00/14,30-18,30
mercoledì 14,30-18,30
sabato 09,30-12,00",,,,,,,,,,,,,,,,,,,,
"Biblioteca Telve",,,,"Biblioteca","46,0708339255647","11,4795970916748","Piazzale Depero, 2",38050,"Telve",,"+39 (0461) 766714","telve@biblio.infotn.it",,,"lunedì, giovedì 15,00-18,30/20,00-22,00
martedì, mercoledì 10,00-12,00/15,00-18,30
venerdì 15,00-18,30
sabato 10,00-12,00/14,00-17,00",,,,,,,,,,,,,,,,,,,,
"Biblioteca Tenna",,,,"Biblioteca","46,0146379861584","11,2663722038269","Via Alberè, 39",38050,"Tenna",,"+39 (0461) 700046","tenna@biblio.infotn.it",,,"lunedì, venerdì 14,30-18,30
mercoledì 10,00-12,00",,,,,,,,,,,,,,,,,,,,
"Bici Grill Al Casolin",,"Pasti veloci","Quick meals","Bar","46,0692708043767","11,6235780715942","Loc. Casolin, 1",38053,"Castello Tesino",,,,,,,,,,,,"socializzare",,,,,,,,,,,,,,
"Bici Grill Levico",,"Ristorante","Ristorante","Ristorante","46,0019103781571","11,3096523284912","Via per Santa Giuliana, 10",38056,"Levico Terme",,"+39 (328) 6548969","info@bicigrill-bigfish.it",,"www.bicigrill-bigfish.it",,,,,,,,,,,,,,,,,,,,,
"Birreria 700",,,,"birreria","46,0650576001593","11,2331986427307","Via Petrarca, 82",38057,"Pergine Valsugana",,"+39 (0461) 531660",,,,"domenica chiuso",,,,,,"socializzare","divertimento",,,,,,,,,,,,,
"Birreria Absolut",,"Pasti veloci","Quick meals","birreria","46,0528479134601","11,4549207687378","Piazza Romani, 13",38051,"Borgo Valsugana",,"+39 (0461) 754738",,,,"chiuso giovedì",,,,,,"socializzare","divertimento",,,,,,,,,,,,,
"Blu Top",,"non alimentare",,"negozio","46,0679383947018","11,2229740619659","Via Tamarisi, 2 - Shop Center Valsugana",38057,"Pergine Valsugana",,,,,,,,,,,,,,,,,,,,,,,,,,
"Boeriu Nineta - Hotel Madrano",,"ristorante","restaurant","ristorante","46,0856292796992","11,215238571167","Piazza Prada,11 - Madrano",38057,"Pergine Valsugana",,"+39 (0461) 552569","info@saporedipatagonia.it",,"www.saporedipatagonia.it",,,,,,,"cucina etnica",,,,,,,,,,,,,,
"Boivin",,"Ristorante tipico","Typical restaurant","Ristorante","46,0113594913066","11,3006186485291","Via Garibaldi, 9",38056,"Levico Terme",,"+39 (0461) 701670","info@boivin.it",,"www.boivin.it",,,,,,,"cucina tipica",,,,,,,,,,,,,,
"Bono",,,,"Bar","46,0599283716303","11,2412667274475","Via Maier, 26",38057,"Pergine Valsugana",,"+39 (0461) 510488",,,,"domenica chiuso",,,,,,"socializzare",,,,,,,,,,,,,,
"Bottega Artigiana di Capozzi Lorenzo",,"articoli in pelle e cuoio, artigianato artistico","arts and crafts store (leather)","Prodotti tipici","46,012119523327","11,2965631484985","Viale Lido, 13",38056,"Levico Terme",,"+39 (0461) 707135",,,,,,,,,,,,,,,,,,,,,,,,
"Bottega del Caffè Dersut",,,,"Bar","46,0612981977296","11,2385094165802","Via Pennella, 38",38057,"Pergine Valsugana",,,,,,"mercoledì chiuso",,,,,,"socializzare",,,,,,,,,,,,,,
"Bottega della musica",,"strumenti musicali",,"negozio","46,0723076849962","11,2197875976563","Loc. Fratte, 48",38057,"Pergine Valsugana",,"+39 (0461) 530019",,,,,,,,,,,,,,"musica, strumenti musicali",,,,,,,,,,
"Bottega Verde",,"cosmetici",,"profumeria","46,0679383947018","11,2229740619659","Via Tamarisi, 2 - Shop Center Valsugana",38057,"Pergine Valsugana",,,,,,,,,,,,,,,,,,,,,,,,,,
"Boutique della frutta",,"ortofrutta",,"Alimentari","46,0615140911341","11,2429296970367","Via Tre Novembre, 32",38057,"Pergine Valsugana",,,,,,,,,,,,,,,,"frutta",,,,,,,,,,
"Ca' Rossa",,"ristorante specialità pesce","specialty seafood restaurant","Ristorante","46,0278021660037","11,2453544139862","Via della Valsugana, 26 - Ischia",38057,"Pergine Valsugana",,"+39 (0461) 530840","new_carossa@libero.it",,,"giovedì chiuso",,,,,,"pesce",,,,,,,,,,,,,,
"Cacciatore",,"Ristorante","Restaurant","Ristorante","46,0225055808545","11,3115406036377","Loc. Prati di Monte",38056,"Levico Terme",,"+39 (0461) 701575","info@albergoalcacciatore.eu",,"www.albergoalcacciatore.eu",,,,,,,,,,,,,,,,,,,,,
"CAD bellezza e igiene",,"profumeria/igiene personale/ igiene casa",,"profumeria","46,0583277165558","11,2371468544006","Viale Venezia, 50c",38057,"Pergine Valsugana",,"+39 (0461) 530999",,,,,,,,,,,,,,"igiene personale, igiene casa, profumeria",,,,,,,,,,
"Cafè di'Enote",,"Pasti veloci","Quick meals","Bar","45,9777586251191","11,6810846328735","Via Nazionale, 18",38055,"Grigno",,"+39 (0461) 769194",,,,,,,,,,"socializzare",,,,,,,,,,,,,,
"Cafè Lumiere",,,,"Bar","46,0575981002425","11,6295433044434","Via de Le Parti",38053,"Castello Tesino",,"+39 (347) 7906889","cafe.lumiere@hotmail.it",,,,,,,,,"socializzare",,,,,,,,,,,,,,
"Cafè Ristorante Sapori e Saperi ",,,,"Ristorante","46,0603080550949","11,2373828887939","Viale Venezia, 7",38057,"Pergine Valsugana",,"+39 (0461) 510859",,,,"domenica chiuso",,,,,,,,,,,,,,,,,,,,
"Caffè Alexander",,,,"Bar","46,0608291850108","11,2405586242676","Piazza Municipio, 4",38057,"Pergine Valsugana",,,,,,"mercoledì chiuso",,,,,,"socializzare",,,,,,,,,,,,,,
"Caffè Bar Mozart",,,,"Bar","46,0634198721546","11,2412667274475","Piazza Garibaldi, 18",38057,"Pergine Valsugana",,,,,,"mercoledì chiuso",,,,,,"socializzare",,,,,,,,,,,,,,
"Caffè Italia",,,,"Bar","46,0168508603145","11,6344034671783","Via Vittorio Emanuele, 133",38055,"Grigno",,"+39 (0461) 765444",,,,,,,,,,"socializzare",,,,,,,,,,,,,,
"Caffè Marconi",,,,"Bar","46,0635538699072","11,633448600769","Piazza Marconi",38053,"Castello Tesino",,"+39 (0461) 594133",,,,,,,,,,"socializzare",,,,,,,,,,,,,,
"Caffè Roma",,,,"Bar","46,0540541124438","11,4564228057861","Largo Dordi, 3",38051,"Borgo Valsugana",,"+39 (0461) 753375",,,,"chiuso lunedì",,,,,,"socializzare",,,,,,,,,,,,,,
"Caffetteria e Panetteria Da Anita",,"panetteria","bakery","Bar","46,065236258457","11,2366318702698","Via dei Prati, 31",38057,"Pergine Valsugana",,"+39 (0461) 512529",,,,"domenica chiuso",,,,,,"socializzare",,,,,,,,,,,,,,
"Calzature Fruet",,"calzature",,"abbigliamento","46,0602931655965","11,2398827075958","Via Pennella, 1",38057,"Pergine Valsugana",,"+39 (0461) 531437",,,,,,,,,,,,,,"calzature",,,,,,,,,,
"Calzature Volpato",,"abbigliamento",,"abbigliamento","46,0679383947018","11,2229740619659","Via Tamarisi, 2 - Shop Center Valsugana",38057,"Pergine Valsugana",,,,,,,,,,,,,,,,,,,,,,,,,,
"Calzedonia",,"abbigliamento",,"abbigliamento","46,0679383947018","11,2229740619659","Via Tamarisi, 2 - Shop Center Valsugana",38057,"Pergine Valsugana",,,,,,,,,,,,,,,,,,,,,,,,,,
"Caminetto",,"Pasti veloci","Quick meals","Bar","46,0115830312203","11,301863193512","Via Dante, 24",38056,"Levico Terme",,"+39 (0461) 706360",,,,,,,,,,"socializzare",,,,,,,,,,,,,,
"Camping Alice",,"Ristorante Pizzeria","Restaurant, pizzeria","Pizzeria","46,041953701001","11,6472887992859","Loc. Celado",38053,"Castello Tesino",,"+39 (0461) 594018","campeggioalice@libero.it",,"www.campeggioalice.it",,,,,,,"cucina tipica",,,,,,,,,,,,,,
"Camping Casteltesino",,"Ristorante Pizzeria","Restaurant, pizzeria","Pizzeria","46,0676480888854","11,6337060928345","Loc. Sottomolizza, 1",38053,"Castello Tesino",,"+39 (338) 4490234","info@casteltesinocamping.it",,"www.casteltesinocamping.it",,,,,,,,,,,,,,,,,,,,,
"Camping Lagorai",,"Ristorante","Restaurant","Ristorante","46,0904956970005","11,5986442565918","Loc. Quistaon, 1",38050,"Pieve Tesino",,"+39 (0461) 593355","info@campinglagorai.com",,"www.campinglagorai.com",,,,,,,,,,,,,,,,,,,,,
"Camping Valmalene",,"Ristorante Pizzeria","Restaurant, pizzeria","Ristorante","46,1140627241198","11,6182136535645","Loc. Valmalene, snc",38050,"Pieve Tesino",,"+39 (0461) 594627","info@valmalene.com",,"www.valmalene.com",,,,,,,"cucina tipica",,,,,,,,,,,,,,
"Canterbury",,"Ristorante","Ristorante","Ristorante","46,0614768681936","11,6317749023438","Via F.lli Ballerin, 12/b",38053,"Castello Tesino",,"+39 (0461) 594383","info@garnicanterbury.com",,"www.garnicanterbury.com",,,,,,,,,,,,,,,,,,,,,
"Cantinota",,"Ristorante Pizzeria","Restaurant, pizzeria","Pizzeria","46,0113818453386","11,3013803958893","Via Trieste, 1",38056,"Levico Terme",,"+39 (0461) 701699","info@lacantinotalevico.it",,"www.lacantinotalevico.it",,,,,,,,,,,,,,,,,,,,,
"Carlin Marco",,"calzature",,"abbigliamento","46,0642536306644","11,2307739257813","Viale Dante, 105/a",38057,"Pergine Valsugana",,"+39 (0461) 511470",,,,,,,,,,,,,,"calzature",,,,,,,,,,
"Carlin Mauro",,"pasticceria e confetteria","pastry shop and confectionery","gelateria","46,0599804852016","11,2374258041382","Via Rossi, 4",38057,"Pergine Valsugana",,"+39 (0461) 510769",,,,,,,,,,,,,,,,,,,,,,,,
"Carlon",,"Ristorante tipico","Typical restaurant","Ristorante","46,0060836870758","11,3802909851074","Loc. Sella",38051,"Borgo Valsugana",,"+39 (0461) 761036",,,,"chiuso lunedì",,,,,,"cucina tipica",,,,,,,,,,,,,,
"Carpe Diem di Obletter Adriana",,"abbigliamento donna",,"abbigliamento","46,0616183152342","11,2419319152832","Via Crivelli, 34",38057,"Pergine Valsugana",,"+39 (0461) 534388",,,,,,,,,,,,,,"abbigliamento",,,,,,,,,,
"Carrozzeria Cirè",,"carrozzeria","car bodywork","automoto","46,0771038296022","11,2075567245483","Loc. Cirè, 24",38057,"Pergine Valsugana",,"+39 (0461) 531154",,,,,,,,,,,,,,"carrozzeria, auto",,,,,,,,,,
"Cartoleria Bertoldi",,"cartoleria, libreria",,"cartoleria","46,0607770722406","11,2416368722916","Piazza Garbari, 3",38057,"Pergine Valsugana",,"+39 (0461) 531039",,,,,,,,,,,,,,"cartoleria, libreria",,,,,,,,,,
"Cartoleria Tabacchi Sbarbati Rosina",,"edicola, tabacchi","newsstand, smoke shop","tabacchino","46,0650873765824","11,633083820343","Via Donato Pelloso, 17",38053,"Castello Tesino",,,,,,,,,,,,,,,,,,,,,,,,,,
"Casa Andriollo - Soggetto Montagna Donna",,"Percorso espositivo dedicato alla donna di montagna, attraverso testimonianze legate ai diversi momenti dell'esistenza femminile","Permanent exhibition devoted to the life of women in the mountain with documents and objects of the women's life in the households.","Museo","46,040888737897","11,4640617370605","Piazza della Chiesa - Fraz. Olle",38051,"Borgo Valsugana",,"+39 (0461) 754052","borgo.valsugana@biblio.infotn.it",,"http://www.valsuganacultura.it/casaandriollo/","Da marzo a fine giugno e da settembre a fine ottobre: sab 14.30 - 18.30, dom 10.00 - 12.00 / 14.30 - 18.30.
Da luglio a fine agosto: mer 10.00 - 12.00, sab 10.00 - 12.00 / 15.00 - 19.00, dom 10.00 - 12.00 / 15.00 - 19.00.",,,,"Biglietto Intero (Adulti): € 3; Biglietto Ridotto (Gruppi superiori alle 15 unità): € 2; Biglietto Gratuito: Bambini fino a 10 anni, Diversamente Abili e Scuole elementari di Borgo Valsugana;",,"cultura",,,,,,,,,,,,,,
"Casa degli Spaventapasseri e Mulino Angeli",,"Interessante esposizione di spaventapasseri raccolti dal fotografo Flavio Faganello, mettendo in luce la storia e il rapporto dell'uomo con la terra","Museum of the Scarecrows.
The Mulino Angeli is a mill which used to be used to grind corn, sweet cont and other creals cultivated in Valsugana. In the building a permanent exhibition of pictures of scarecrows by Flavio Faganello has been arranged.","Museo","46,0327556154719","11,393358707428","Via San Silvestro, 2 - Fraz. Marter",38050,"Roncegno Terme",,"+39 (0461) 764387","roncegno@biblio.infotn.it",,"www.lacasadeglispaventapasseri.net","giugno, luglio, agosto, settembre: da martedì a domenica 14.00 - 18.00 / venerdì anche 10.00 - 12.00 
aprile (dal 13), maggio, ottobre: sabato e domenica 14.00 - 18.00  
altri periodi su prenotazione",,,,"Biglietto intero € 2
Biglietto ridotto € 1
Ingresso gratuito per persone diversamente abili, bambini fino a 10 anni, famiglie con bambini nel giorno del loro compleanno",,"cultura",,,,,,,,,,,,,,
"Casa dell'attrezzatura",,"ferramenta",,"Ferramenta","46,0626605454132","11,2347972393036","Loc. Cirè, 24",38057,"Pergine Valsugana",,"+39 (0461) 510310",,,,,,,,,,,,,,"ferramenta",,,,,,,,,,
"Casagrande Marisa",,"panetteria","bakery","Alimentari","46,0627126564057","11,2426722049713","Via Battisti, 6",38057,"Pergine Valsugana",,,,,,,,,,,,"prodotti tipici",,,,"panificio",,,,,,,,,,
"Casagrande Massimo",,"parrucchieri",,"parrucchiera","46,0641568557691","11,244410276413","Via Pive, 19",38057,"Pergine Valsugana",,"+39 (331) 1284601",,,,,,,,,,,,,,"parrucchieri",,,,,,,,,,
"Casanova Christian",,"non alimentare",,"negozio","46,0679383947018","11,2229740619659","Via Tamarisi, 2 - Shop Center Valsugana",38057,"Pergine Valsugana",,,,,,,,,,,,,,,,,,,,,,,,,,
"Casapiccola Drink Line",,"ingrosso bibite",,"Alimentari","46,0783511756929","11,207857131958","Loc. Cirè, 32",38057,"Pergine Valsugana",,"+39 (0461) 509048",,,,,,,,,,,,,,"ingrosso bibite",,,,,,,,,,
"Castel Pergine",,"Apparteneva ai Sgnori di Pergine, poi passò di mano in varie epoche e occupazioni fino al 1531 quando passò al Principe Vescovo Bernardo Clesio. Oggi ristorante-albergo di proprietà privata","The Castle belonged to the lords of Pergine; it was then conquered by different families until 1531, when it was acquired by the Prince Bishop Bernardo Clesio.  Today the castle includes a private restaurant and hotel.","Monumento","46.05919133156925 ","11.249828338623","Via Al Castello,10",38057,"Pergine Valsugana",,"+39 (0461) 531158","verena@castelpergine.it",,"www.castelpergine.it","chiuso da novembre a marzo, visitabile solo esternamente",,,,,,"cultura",,,,,,,,,,,,,,
"Castel Pergine Est - Area di Servizio",,"stazioneservizio","service station","Bar","46,0463399410206","11,2349796295166","Via della Campagna Granda - S. Cristoforo",38057,"Pergine Valsugana",,"+39 (0462) 532665",,,,"domenica chiuso",,,,,,"socializzare",,,,,,,,,,,,,,
"Cenca srl (vicino formica)",,"calzature",,"abbigliamento","46,0544934005909","11,2359344959259","Via al Lago, 15",38057,"Pergine Valsugana",,,,,,,,,,,,,,,,,,,,,,,,,,
"Centrale",,"Ristorante Pizzeria","Restaurant, pizzeria","Pizzeria","46,053391450831","11,458021402359","Piazza Martiri, 5",38051,"Borgo Valsugana",,,,,,"chiuso giovedì",,,,,,,,,,,,,,,,,,,,
"Centro Benessere Hotel Sorriso",,"Centro benessere","Wellness center","wellness","46,0136246539563","11,2883448600769","Via Segantini, 14",38056,"Levico Terme",,"+39 (0461) 707029","info@hotelsorriso.it",,"www.hotelsorriso.it",,,,,,,"benessere",,,,,,,,,,,,,,
"Centro Benessere Parc Hotel Du Lac",,"Centro benessere","Wellness center","wellness","46,0150179809471","11,2866711616516","Località Lago, 3",38056,"Levico Terme",,"+39 (0461) 706590","info@dulachotel.com",,"www.dulachotel.com",,,,,,,"benessere",,,,,,,,,,,,,,
"Centro Benessere Sole e Hammam",,"Centro benessere","Wellness Center","wellness","46,0554538658928","11,4722371101379","Corso Vicenza, 47",38051,"Borgo Valsugana",,"+39 (0461) 757469","info@soleehammam.it",,"www.soleehammam.com",,,,,,,"benessere",,,,,,,,,,,,,,
"Centro Commerciale Le Valli",,,,"centrocommerciale","46,0559303696104","11,473503112793","Corso Vicenza",38051,"Borgo Valsugana",,,"centrocommercialelevalli@legalmail.it",,"www.centrolevalli.it",,,,,,,,,,,,,,,,,,,,,
